Depth ,Sonic TT,Gammma R,Neutron,Density,Vshale,Porosity,Thermal Facies
2899,74.3122,80.922,0.1612,2.477,49.9963676,20.12,kf3
2899,74.1698,91.146,0.1766,2.5046,62.37559027,21.66,kf4
2899,75.9854,98.078,0.1848,2.5234,70.76885822,22.48,kf4
2900,74.7426,81.898,0.1494,2.4562,51.17810873,18.94,kf3
2900,76.101,88.5,0.1578,2.4826,59.17181257,19.78,kf3
2900,77.7896,95.814,0.1708,2.5104,68.02760625,21.08,kf4
2900,78.0208,99.614,0.182,2.5256,72.62864754,22.2,kf4
2901,74.8714,78.726,0.1468,2.4388,47.33745005,18.68,kf3
2901,75.3134,79.374,0.1502,2.4356,48.12204867,19.02,kf3
2901,75.3054,82.968,0.1578,2.4434,52.47366509,19.78,kf3
2901,75.5144,87.81,0.1662,2.464,58.33636033,20.62,kf3
2902,76.132,91.572,0.172,2.486,62.89139121,21.2,kf4
2902,76.512,92.912,0.1758,2.4976,64.51386366,21.58,kf4
2902,76.3348,94.21,0.181,2.5036,66.0854825,22.1,kf4
2903,76.3994,97.466,0.1882,2.5142,70.02784841,22.82,kf4
2903,76.8616,102.196,0.1968,2.5282,75.75493401,23.68,kf4
2903,76.9086,109.536,0.2068,2.5462,84.6422085,24.68,kf4
